,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
0,41.0,1,3,6.0,2,1,3,3.0,1,3.0,2,1.0,1,2,1,0.0,2,20993.0,1
1,49.0,0,1,14.0,2,2,3,4.0,1,4.0,0,2.0,0,3,1,2.0,2,20130.0,0
2,37.0,1,1,8.0,0,2,3,4.0,0,3.0,2,7.0,1,3,0,0.0,1,17090.0,1
3,33.0,0,1,9.0,2,1,2,3.0,0,3.0,0,2.0,1,5,1,1.0,1,17909.0,0
4,37.62226512226512,1,1,8.0,3,2,2,3.0,0,4.0,0,1.0,0,5,1,0.0,1,18468.0,0
5,32.0,0,1,8.0,2,2,3,3.0,0,3.0,2,1.0,0,5,1,1.0,1,18068.0,0
6,59.0,1,1,9.0,3,1,2,2.0,0,5.0,0,5.0,1,2,1,1.0,1,17670.0,0
7,30.0,1,1,30.0,2,2,3,3.0,0,3.0,1,2.0,0,2,0,1.0,1,17693.0,0
8,38.0,0,1,29.0,2,2,2,4.0,3,3.0,3,1.0,0,3,0,0.0,3,24526.0,0
9,36.0,1,1,33.0,3,2,3,3.0,1,3.0,0,7.0,0,3,1,0.0,2,20237.0,0
10,35.0,1,1,22.0,3,2,2,2.0,0,4.0,0,1.0,0,3,1,1.0,1,17426.0,0
11,37.62226512226512,1,1,21.0,2,1,2,4.0,1,3.0,2,1.0,1,3,0,0.0,2,22347.0,0
12,31.0,1,1,32.0,2,2,2,3.0,0,3.0,1,2.0,0,3,0,1.0,1,17911.0,0
13,34.0,1,1,25.0,3,2,3,3.0,0,3.0,1,1.0,0,3,0,2.0,1,17661.0,0
14,28.0,1,1,30.0,2,2,2,4.0,0,3.0,2,6.0,1,2,0,0.0,1,17028.0,1
15,29.0,1,1,27.0,2,1,2,2.0,3,5.0,1,2.0,0,5,1,1.0,3,24980.0,0
16,32.0,1,1,11.0,2,2,3,2.0,0,4.0,1,1.0,1,2,1,0.0,1,18298.0,0
17,22.0,0,1,22.0,3,2,3,2.0,0,3.0,1,2.0,1,3,0,0.0,1,17935.0,0
18,53.0,1,3,8.0,2,1,3,4.0,4,3.0,0,3.0,0,3,1,0.0,0,30427.0,0
19,37.62226512226512,1,1,8.0,2,2,2,3.0,0,3.0,2,6.0,1,4,0,1.0,1,22347.0,0
20,37.62226512226512,0,1,17.0,2,1,3,2.0,1,3.0,1,1.0,0,3,1,2.0,2,22347.0,0
21,37.62226512226512,1,3,15.0,2,2,2,4.0,1,5.0,2,1.0,0,2,0,0.0,2,18407.0,1
22,34.0,1,1,13.0,2,0,2,3.0,3,4.0,3,1.0,0,3,1,0.0,3,26994.0,0
23,21.0,1,1,21.0,2,2,3,3.0,0,3.0,2,2.0,0,3,1,1.0,1,16232.0,0
24,34.0,1,1,12.0,3,2,2,3.0,0,5.0,2,3.0,0,2,1,1.0,1,17960.0,1
25,53.0,1,1,11.0,2,1,2,3.0,2,3.0,1,5.0,0,5,0,1.0,4,34094.0,0
26,37.62226512226512,0,1,22.0,2,1,3,5.0,0,5.0,2,2.0,1,4,1,2.0,1,22347.0,1
27,42.0,1,3,14.0,3,2,2,3.0,1,4.0,0,1.0,0,3,0,1.0,2,21825.0,0
28,44.0,1,1,13.0,3,1,2,4.0,3,3.0,0,4.0,0,4,1,0.0,3,25248.0,0
29,46.0,1,3,8.0,3,1,2,3.0,2,5.0,2,4.0,0,2,0,1.0,4,33947.0,0
30,33.0,1,1,8.0,3,2,3,3.0,0,3.0,2,5.0,0,3,1,2.0,1,17496.0,0
31,44.0,1,1,16.0,2,2,2,3.0,1,3.0,0,3.0,1,3,1,1.0,2,21465.0,0
32,30.0,1,1,15.0,3,2,2,4.0,0,3.0,2,2.0,0,4,1,1.0,1,17206.0,0
